"locus_tag","logFC","logCPM","F","PValue","FDR","gene_name","spi","DE"
"SL1344_1330",3.62595111880654,8.57073478948687,398.121735322163,4.68707961615248e-08,2.00198628357246e-06,"ssaE",NA,"Amplified"
"SL1344_1355",5.03049250815427,8.71235433419769,395.246524642857,4.82113408813096e-08,2.03905612315656e-06,"ssaT","SPI-2","Amplified"
"SL1344_4197",-4.64841593518944,12.7789054736489,393.206690416376,4.91916074582784e-08,2.06031645218459e-06,"siiE","SPI-4","Attenuated"
"SL1344_2217",4.57531008466097,8.67153423940061,390.849715322139,5.03555778734125e-08,2.07337528531483e-06,"sspH2","SPI-2","Amplified"
"SL1344_1770",-3.91354154226216,8.19602730432412,390.18036279796,5.06924050814552e-08,2.07337528531483e-06,"STM1841",NA,"Attenuated"
"SL1344_1328",4.80435263639891,9.08191170840943,389.681564842578,5.09452434500167e-08,2.07337528531483e-06,"ssaC","SPI-2","Amplified"
"SL1344_4391",-4.95941236492804,8.35396405588313,387.062580767405,5.22990250794844e-08,2.10857938498033e-06,"pyrB","-","Attenuated"
"SL1344_1335",5.16635200085824,9.58280918815744,383.386243174829,5.42763090651196e-08,2.16803701210117e-06,"sseD","SPI-2","Amplified"
"SL1344_2876",-7.37472814887329,9.46949767718223,381.277436671026,5.54528326804514e-08,2.19471119434374e-06,"invE","SPI-1","Attenuated"
"SL1344_1344",4.97252303788634,9.51728581243438,378.858882508231,5.68417721807948e-08,2.22923095625408e-06,"STM1410",NA,"Amplified"
"InvR",-8.37508245453441,11.2931439768175,371.10597579747,6.15981450876777e-08,2.3834470862613e-06,"InvR","-","Attenuated"
"SL1344_4162",4.17975948044695,8.03726885160463,370.395103068208,6.20588019241572e-08,2.3834470862613e-06,"yjbA","-","Amplified"
"SL1344_1902",-5.07401924943179,6.35935071672655,369.655007287085,6.25429897485101e-08,2.3834470862613e-06,"fliJ","-","Attenuated"
"SL1344_1336",5.2844870714718,8.87855347773852,368.987130697896,6.29839981070441e-08,2.3834470862613e-06,"sseE","SPI-2","Amplified"
